[08-22 04:01:34] [B] B-series start: min=100 b-min=80 plateau=25 threshold=0.68 parent=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\E7_tail\bundle_000060
[08-22 15:13:38] [B] B4_bridge iter=86 score=0.936 success=1.000 dwell=1.000 survival=1.000 plateau=4
[08-22 15:17:38] [B] B4_bridge iter=90 score=0.936 success=1.000 dwell=1.000 survival=1.000 plateau=8
[08-22 15:23:39] [B] B4_bridge iter=94 score=0.936 success=1.000 dwell=1.000 survival=1.000 plateau=12
[08-22 15:29:39] [B] B4_bridge iter=98 score=0.943 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 15:33:39] [B] B4_bridge iter=102 score=0.945 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 15:39:39] [B] B4_bridge iter=106 score=0.945 success=1.000 dwell=1.000 survival=1.000 plateau=4
[08-22 15:45:40] [B] B4_bridge iter=110 score=0.944 success=1.000 dwell=1.000 survival=1.000 plateau=8
[08-22 15:51:40] [B] B4_bridge iter=114 score=0.944 success=1.000 dwell=1.000 survival=1.000 plateau=12
[08-22 15:55:40] [B] B4_bridge iter=118 score=0.948 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 16:01:40] [B] B4_bridge iter=122 score=0.948 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 16:07:41] [B] B4_bridge iter=126 score=0.953 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 16:11:41] [B] B4_bridge iter=130 score=0.953 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 16:17:41] [B] B4_bridge iter=134 score=0.953 success=1.000 dwell=1.000 survival=1.000 plateau=4
[08-22 16:21:41] [B] B4_bridge iter=138 score=0.952 success=1.000 dwell=1.000 survival=1.000 plateau=8
[08-22 16:27:42] [B] B4_bridge iter=142 score=0.953 success=1.000 dwell=1.000 survival=1.000 plateau=12
[08-22 16:33:42] [B] B4_bridge iter=146 score=0.953 success=1.000 dwell=1.000 survival=1.000 plateau=16
[08-22 16:37:42] [B] B4_bridge iter=150 score=0.954 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 16:43:43] [B] B4_bridge iter=154 score=0.955 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 16:47:43] [B] B4_bridge iter=158 score=0.956 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 16:51:43] [B] B4_bridge iter=162 score=0.915 success=1.000 dwell=0.968 survival=0.900 plateau=4
[08-22 16:55:43] [B] B4_bridge iter=165 score=0.908 success=1.000 dwell=0.968 survival=0.900 plateau=7
[08-22 16:57:44] [B] B4_bridge iter=166 score=0.908 success=1.000 dwell=0.968 survival=0.900 plateau=8
[08-22 17:01:44] [B] B4_bridge iter=170 score=0.908 success=1.000 dwell=0.968 survival=0.900 plateau=12
[08-22 17:05:44] [B] B4_bridge iter=174 score=0.904 success=1.000 dwell=0.968 survival=0.900 plateau=16
[08-22 17:09:44] [B] B4_bridge iter=177 score=0.903 success=1.000 dwell=0.968 survival=0.900 plateau=19
[08-22 17:11:44] [B] B4_bridge iter=178 score=0.904 success=1.000 dwell=0.968 survival=0.900 plateau=20
[08-22 17:15:44] [B] B4_bridge iter=182 score=0.938 success=1.000 dwell=1.000 survival=1.000 plateau=24
[08-22 17:19:45] [B] B4_bridge iter=185 score=0.934 success=1.000 dwell=1.000 survival=1.000 plateau=27
[08-22 17:19:45] [B] B4_bridge qualified and plateaued; requesting graceful stop at iter=185
[08-22 17:20:49] [B] B4_bridge promoted from peak iter=158.0 score=0.9556507291666667 bundle=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B4_bridge\bundle_000150
[08-22 17:20:49] [B] B5_bridge launch (peak-bundle transfer, cap=300, min=100) <- C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B4_bridge\bundle_000150
[08-22 18:02:51] [B] B5_bridge iter=39 score=0.961 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 18:06:51] [B] B5_bridge iter=44 score=0.876 success=0.900 dwell=0.900 survival=0.900 plateau=5
[08-22 18:10:52] [B] B5_bridge iter=48 score=0.877 success=0.900 dwell=0.900 survival=0.900 plateau=9
[08-22 18:14:52] [B] B5_bridge iter=51 score=0.877 success=0.900 dwell=0.900 survival=0.900 plateau=12
[08-22 18:16:52] [B] B5_bridge iter=52 score=0.877 success=0.900 dwell=0.900 survival=0.900 plateau=13
[08-22 18:18:52] [B] B5_bridge iter=55 score=0.878 success=0.900 dwell=0.900 survival=0.900 plateau=16
[08-22 18:20:52] [B] B5_bridge iter=56 score=0.874 success=0.900 dwell=0.900 survival=0.900 plateau=17
[08-22 18:24:52] [B] B5_bridge iter=60 score=0.874 success=0.900 dwell=0.900 survival=0.900 plateau=21
[08-22 18:28:52] [B] B5_bridge iter=64 score=0.958 success=1.000 dwell=1.000 survival=1.000 plateau=25
[08-22 18:32:53] [B] B5_bridge iter=67 score=0.958 success=1.000 dwell=1.000 survival=1.000 plateau=28
[08-22 18:34:53] [B] B5_bridge iter=68 score=0.924 success=0.950 dwell=1.000 survival=0.950 plateau=29
[08-22 18:38:53] [B] B5_bridge iter=72 score=0.923 success=0.950 dwell=1.000 survival=0.950 plateau=33
[08-22 18:42:53] [B] B5_bridge iter=75 score=0.923 success=0.950 dwell=1.000 survival=0.950 plateau=36
[08-22 18:46:53] [B] B5_bridge iter=79 score=0.922 success=0.950 dwell=1.000 survival=0.950 plateau=40
[08-22 18:50:54] [B] B5_bridge iter=83 score=0.925 success=0.950 dwell=1.000 survival=0.950 plateau=44
[08-22 18:54:54] [B] B5_bridge iter=87 score=0.926 success=0.950 dwell=1.000 survival=0.950 plateau=48
[08-22 19:00:54] [B] B5_bridge iter=91 score=0.926 success=0.950 dwell=1.000 survival=0.950 plateau=52
[08-22 19:04:54] [B] B5_bridge iter=95 score=0.926 success=0.950 dwell=1.000 survival=0.950 plateau=56
[08-22 19:08:54] [B] B5_bridge iter=99 score=0.926 success=0.950 dwell=1.000 survival=0.950 plateau=60
[08-22 19:14:55] [B] B5_bridge iter=103 score=0.926 success=0.950 dwell=1.000 survival=0.950 plateau=0
[08-22 19:18:55] [B] B5_bridge iter=107 score=0.959 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 19:22:55] [B] B5_bridge iter=111 score=0.960 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 19:28:55] [B] B5_bridge iter=115 score=0.959 success=1.000 dwell=1.000 survival=1.000 plateau=4
[08-22 19:32:56] [B] B5_bridge iter=119 score=0.959 success=1.000 dwell=1.000 survival=1.000 plateau=8
[08-22 19:36:56] [B] B5_bridge iter=123 score=0.960 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 19:42:56] [B] B5_bridge iter=127 score=0.952 success=1.000 dwell=1.000 survival=1.000 plateau=4
[08-22 19:46:56] [B] B5_bridge iter=131 score=0.952 success=1.000 dwell=1.000 survival=1.000 plateau=8
[08-22 19:52:57] [B] B5_bridge iter=135 score=0.953 success=1.000 dwell=1.000 survival=1.000 plateau=12
[08-22 19:56:57] [B] B5_bridge iter=139 score=0.950 success=1.000 dwell=1.000 survival=1.000 plateau=16
[08-22 20:00:57] [B] B5_bridge iter=143 score=0.949 success=1.000 dwell=1.000 survival=1.000 plateau=20
[08-22 20:06:57] [B] B5_bridge iter=147 score=0.951 success=1.000 dwell=1.000 survival=1.000 plateau=24
[08-22 20:10:58] [B] B5_bridge iter=151 score=0.951 success=1.000 dwell=1.000 survival=1.000 plateau=28
[08-22 20:10:58] [B] B5_bridge qualified and plateaued; requesting graceful stop at iter=151
[08-22 20:12:14] [B] B5_bridge promoted from peak iter=123.0 score=0.9600242808020741 bundle=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B5_bridge\bundle_000120
[08-22 20:12:14] [B] B-series orchestrator finished; final parent=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B5_bridge\bundle_000120
[08-22 20:25:36] [B] B-series start: stages=B6,B7 min=100 b-min=80 plateau=25 threshold=0.68 parent=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B5_bridge\bundle_000120
[08-22 20:25:36] [B] B6_bridge launch (peak-bundle transfer, cap=300, min=100) <- C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B5_bridge\bundle_000120
[08-22 20:37:57] [B] B6_bridge failed and has no checkpoint for B6b; chain halted
[08-22 20:37:57] [B] B-series orchestrator finished; final parent=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B5_bridge\bundle_000120
[08-22 20:56:29] [B] B-series start: stages=B6,B7 min=100 b-min=80 plateau=25 threshold=0.68 parent=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B5_bridge\bundle_000120
[08-22 20:56:29] [B] B6_bridge launch (peak-bundle transfer, cap=300, min=100) <- C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B5_bridge\bundle_000120
[08-22 21:34:31] [B] B6_bridge iter=33 score=0.879 success=0.900 dwell=0.900 survival=0.900 plateau=0
[08-22 21:36:31] [B] B6_bridge iter=35 score=0.880 success=0.900 dwell=0.900 survival=0.900 plateau=0
